p_inf,num_tests,test_functions,i,cnt,tp,tn,fp,fn,tkn_max,tkn_mean,tkn_std
0.0001,35,"sensitivity=0.9991,specificity=0.9991",19,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9991,specificity=0.9991",20,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9991,specificity=0.9991",21,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9991,specificity=0.9991",22,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9991,specificity=0.9991",23,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9991,specificity=0.9991",24,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9991,specificity=0.9991",25,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9991,specificity=0.9991",26,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9991,specificity=0.9991",27,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9991,specificity=0.9991",28,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9991,specificity=0.9991",29,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9991,specificity=0.9991",30,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9991,specificity=0.9991",31,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9991,specificity=0.9991",32,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9991,specificity=0.9991",33,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9991,specificity=0.9991",34,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9992,specificity=0.9992",0,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9992,specificity=0.9992",1,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9992,specificity=0.9992",2,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9992,specificity=0.9992",3,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9992,specificity=0.9992",4,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9992,specificity=0.9992",5,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9992,specificity=0.9992",6,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9992,specificity=0.9992",7,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9992,specificity=0.9992",8,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9992,specificity=0.9992",9,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9992,specificity=0.9992",10,11,1,692,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9992,specificity=0.9992",11,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9992,specificity=0.9992",12,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9992,specificity=0.9992",13,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9992,specificity=0.9992",14,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9992,specificity=0.9992",15,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9992,specificity=0.9992",16,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9992,specificity=0.9992",17,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9992,specificity=0.9992",18,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9992,specificity=0.9992",19,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9992,specificity=0.9992",20,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9992,specificity=0.9992",21,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9992,specificity=0.9992",22,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9992,specificity=0.9992",23,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9992,specificity=0.9992",24,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9992,specificity=0.9992",25,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9992,specificity=0.9992",26,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9992,specificity=0.9992",27,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9992,specificity=0.9992",28,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9992,specificity=0.9992",29,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9992,specificity=0.9992",30,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9992,specificity=0.9992",31,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9992,specificity=0.9992",32,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9992,specificity=0.9992",33,11,1,692,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9992,specificity=0.9992",34,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9993,specificity=0.9993",0,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9993,specificity=0.9993",1,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9993,specificity=0.9993",2,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9993,specificity=0.9993",3,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9993,specificity=0.9993",4,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9993,specificity=0.9993",5,11,1,692,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9993,specificity=0.9993",6,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9993,specificity=0.9993",7,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9993,specificity=0.9993",8,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9993,specificity=0.9993",9,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9993,specificity=0.9993",10,11,1,692,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9993,specificity=0.9993",11,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9993,specificity=0.9993",12,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9993,specificity=0.9993",13,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9993,specificity=0.9993",14,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9993,specificity=0.9993",15,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9993,specificity=0.9993",16,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9993,specificity=0.9993",17,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9993,specificity=0.9993",18,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9993,specificity=0.9993",19,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9993,specificity=0.9993",20,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9993,specificity=0.9993",21,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9993,specificity=0.9993",22,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9993,specificity=0.9993",23,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9993,specificity=0.9993",24,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9993,specificity=0.9993",25,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9993,specificity=0.9993",26,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9993,specificity=0.9993",27,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9993,specificity=0.9993",28,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9993,specificity=0.9993",29,11,1,692,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9993,specificity=0.9993",30,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9993,specificity=0.9993",31,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9993,specificity=0.9993",32,1,0,693,0,0,1,1,0.0
0.0001,35,"sensitivity=0.9993,specificity=0.9993",33,1,0,693,0,0,1,1,0.0
